labelers_strength,proposed,proposed_penalized,Tao,accuracy-test-classifier,accuracy-test,proposed,proposed_penalized,Tao
0.4155557390967348,0.8839406093621354,0.23226989038204385,1.0000273562739805,0.32947976878612717,0.3872832369942196,0.8839406093621354,0.23226989038204385,1.0000273562739805
0.4477872862054366,0.9515787158484903,0.15974023633628281,0.9992004239831564,0.2658959537572254,0.42485549132947975,0.9515787158484903,0.15974023633628281,0.9992004239831564
0.48074796720696017,0.8049106403502417,0.4868097973253602,0.9987396261455449,0.5115606936416185,0.5,0.8049106403502417,0.4868097973253602,0.9987396261455449
0.5106639193881491,0.7341831056674577,0.48872412182186153,0.9997037234418819,0.5086705202312138,0.5491329479768786,0.7341831056674577,0.48872412182186153,0.9997037234418819
0.5227891804227055,0.8102152889474502,0.7271675488592605,0.9988326804099914,0.5491329479768786,0.5057803468208093,0.8102152889474502,0.7271675488592605,0.9988326804099914
0.56009636506172,0.9135903942030987,0.9231030179994626,0.9995481670317009,0.7109826589595376,0.615606936416185,0.9135903942030987,0.9231030179994626,0.9995481670317009
0.5797928042047139,0.9822696515694584,1.0097418212832263,1.000051324389982,0.7283236994219653,0.5664739884393064,0.9822696515694584,1.0097418212832263,1.000051324389982
0.5982008926023245,0.850520625177318,0.8960415560614593,0.9999020659070676,0.6560693641618497,0.5895953757225434,0.850520625177318,0.8960415560614593,0.9999020659070676
0.6522206812524934,0.9740807467180702,1.0925002178929795,1.000232620932411,0.8323699421965318,0.661849710982659,0.9740807467180702,1.0925002178929795,1.000232620932411
0.6611934355709661,1.0447693277582664,1.1772343206378688,0.9996292688241695,0.8265895953757225,0.6647398843930635,1.0447693277582664,1.1772343206378688,0.9996292688241695
0.6615969412852023,1.0159054226384339,1.1506149460103556,1.0004542220014094,0.846820809248555,0.6705202312138728,1.0159054226384339,1.1506149460103556,1.0004542220014094
0.6965421024291567,1.0507233723738694,1.196434343305073,1.0004398276791469,0.9104046242774566,0.6734104046242775,1.0507233723738694,1.196434343305073,1.0004398276791469
0.7081468727594479,1.0764223909724344,1.2288544458243607,1.000547743534819,0.8815028901734104,0.7312138728323699,1.0764223909724344,1.2288544458243607,1.000547743534819
0.7174852565662234,1.1216054861153468,1.3158591983768495,1.00056558103692,0.8786127167630058,0.661849710982659,1.1216054861153468,1.3158591983768495,1.00056558103692
0.7297974867272254,1.0564420648000363,1.199809447517725,1.00027569681577,0.7630057803468208,0.7312138728323699,1.0564420648000363,1.199809447517725,1.00027569681577
0.7715625798103982,1.1102001813973033,1.2983265325221913,0.9996594782831524,0.7861271676300579,0.7658959537572254,1.1102001813973033,1.2983265325221913,0.9996594782831524
0.7726802996615769,1.1550362654018733,1.3504532826981654,1.0004771322250194,0.8583815028901735,0.8063583815028902,1.1550362654018733,1.3504532826981654,1.0004771322250194
0.8712010886900041,1.162070937057065,1.3675918956851634,1.0005697052622922,0.9104046242774566,0.8930635838150289,1.162070937057065,1.3675918956851634,1.0005697052622922
0.9079368912144808,1.165045047228774,1.3741316764431846,1.0005704951107397,0.9046242774566474,0.8988439306358381,1.165045047228774,1.3741316764431846,1.0005704951107397
0.9123851755836933,1.1364897264128764,1.3245917030171261,1.0005728607108442,0.8901734104046243,0.9421965317919075,1.1364897264128764,1.3245917030171261,1.0005728607108442
