labelers_strength,proposed,proposed_penalized,Tao,accuracy-test-classifier,accuracy-test,proposed,proposed_penalized,Tao
0.4155557390967348,0.9706284061442516,0.26238047683624344,0.999568968381416,0.3802083333333333,0.3333333333333333,0.9706284061442516,0.26238047683624344,0.999568968381416
0.4477872862054366,0.8439457568332785,0.5179281597084017,0.9981121946803805,0.4270833333333333,0.4479166666666667,0.8439457568332785,0.5179281597084017,0.9981121946803805
0.48074796720696017,0.8626801794388296,0.5732009694497521,0.9999722380905522,0.5416666666666666,0.4791666666666667,0.8626801794388296,0.5732009694497521,0.9999722380905522
0.5106639193881491,0.9169533524317457,0.8930047538263992,1.0005432660554119,0.6614583333333334,0.4635416666666667,0.9169533524317457,0.8930047538263992,1.0005432660554119
0.5227891804227055,0.8445365468399315,0.5259760812880492,1.0002085012493678,0.4739583333333333,0.5104166666666666,0.8445365468399315,0.5259760812880492,1.0002085012493678
0.56009636506172,0.8795221251668659,0.843493118570857,0.9994390891635924,0.53125,0.4947916666666667,0.8795221251668659,0.843493118570857,0.9994390891635924
0.5797928042047139,0.8960086872224925,0.6476550388049874,0.9990612947913166,0.5520833333333334,0.5729166666666666,0.8960086872224925,0.6476550388049874,0.9990612947913166
0.5982008926023245,0.8186134401480466,0.7384047953515118,1.000542737525412,0.6197916666666666,0.640625,0.8186134401480466,0.7384047953515118,1.000542737525412
0.6522206812524934,1.032009351809384,1.142630102450206,1.0006129534946038,0.625,0.609375,1.032009351809384,1.142630102450206,1.0006129534946038
0.6611934355709661,0.9828263697792188,1.07629469923773,1.0006313006804528,0.6302083333333334,0.703125,0.9828263697792188,1.07629469923773,1.0006313006804528
0.6615969412852023,0.9742148049169058,1.1081580866398164,0.9988995177568186,0.7083333333333334,0.6197916666666666,0.9742148049169058,1.1081580866398164,0.9988995177568186
0.6965421024291567,1.0235866011374095,1.1535082951028899,0.9994580251373225,0.7083333333333334,0.765625,1.0235866011374095,1.1535082951028899,0.9994580251373225
0.7081468727594479,1.0215674790182097,1.0936132330310904,1.0006209141995677,0.7604166666666666,0.6927083333333334,1.0215674790182097,1.0936132330310904,1.0006209141995677
0.7174852565662234,1.0643623934595603,1.2298300144839078,1.0001710271569664,0.734375,0.734375,1.0643623934595603,1.2298300144839078,1.0001710271569664
0.7297974867272254,1.04920414952011,1.124190869068246,0.999960359815366,0.640625,0.7083333333333334,1.04920414952011,1.124190869068246,0.999960359815366
0.7715625798103982,1.1692722446033945,1.4234490135104518,1.0006398322901056,0.8229166666666666,0.7291666666666666,1.1692722446033945,1.4234490135104518,1.0006398322901056
0.7726802996615769,1.0934423007143779,1.3164993998730425,1.0006417470719442,0.734375,0.78125,1.0934423007143779,1.3164993998730425,1.0006417470719442
0.8712010886900041,1.2103800865311096,1.4796782815801681,0.9996210781472188,0.796875,0.8385416666666666,1.2103800865311096,1.4796782815801681,0.9996210781472188
0.9079368912144808,1.1794159012835386,1.4283898934200874,1.0006474836376036,0.7135416666666666,0.9322916666666666,1.1794159012835386,1.4283898934200874,1.0006474836376036
0.9123851755836933,1.1668298230013443,1.4217147177661564,1.0006474706745812,0.7135416666666666,0.921875,1.1668298230013443,1.4217147177661564,1.0006474706745812
