labelers_strength,proposed,proposed_penalized,Tao,accuracy-test-classifier,accuracy-test,proposed,proposed_penalized,Tao
0.4155557390967348,0.881389460967599,0.29442879902834534,1.0000104406185168,0.35,0.45,0.881389460967599,0.29442879902834534,1.0000104406185168
0.4477872862054366,0.9205086924732027,0.18678461423505105,1.0001136675287539,0.05,0.5,0.9205086924732027,0.18678461423505105,1.0001136675287539
0.48074796720696017,0.9171760570562039,0.8026382570453422,0.9994674097741576,0.7,0.6,0.9171760570562039,0.8026382570453422,0.9994674097741576
0.5106639193881491,0.8564875764878941,0.7530706935359838,1.0001170863361333,0.55,0.25,0.8564875764878941,0.7530706935359838,1.0001170863361333
0.5227891804227055,0.8261620517991735,0.3565849158459195,0.9991255924275777,0.55,0.55,0.8261620517991735,0.3565849158459195,0.9991255924275777
0.56009636506172,0.8654073145915322,0.8010265470946482,0.9995390662111074,0.7,0.45,0.8654073145915322,0.8010265470946482,0.9995390662111074
0.5797928042047139,0.8337877023751841,0.4796637789374102,1.0001377694407267,0.45,0.65,0.8337877023751841,0.4796637789374102,1.0001377694407267
0.5982008926023245,0.7780801033357515,0.4994631786878221,1.0001378827570293,0.55,0.55,0.7780801033357515,0.4994631786878221,1.0001378827570293
0.6522206812524934,1.184955973866222,1.4548971499685877,1.0000141661953859,0.9,0.6,1.184955973866222,1.4548971499685877,1.0000141661953859
0.6611934355709661,0.8924302008117906,0.7452982464153253,1.0001335043014667,0.5,0.75,0.8924302008117906,0.7452982464153253,1.0001335043014667
0.6615969412852023,1.1233145824488922,1.100153489040381,1.0001378833806858,0.65,0.8,1.1233145824488922,1.100153489040381,1.0001378833806858
0.6965421024291567,0.992614634176159,1.339399386310523,1.0001341578121086,0.85,0.55,0.992614634176159,1.339399386310523,1.0001341578121086
0.7081468727594479,1.0258695452494038,1.1923428903952074,1.0001360164026927,0.75,0.55,1.0258695452494038,1.1923428903952074,1.0001360164026927
0.7174852565662234,0.9213703080082363,1.018693818564986,1.0001378810931045,0.85,0.7,0.9213703080082363,1.018693818564986,1.0001378810931045
0.7297974867272254,0.9725424447663675,1.1168927312157546,1.0000140076222432,0.65,0.75,0.9725424447663675,1.1168927312157546,1.0000140076222432
0.7715625798103982,1.2088757245367883,1.5756462074202422,1.0001378830408587,1.0,0.75,1.2088757245367883,1.5756462074202422,1.0001378830408587
0.7726802996615769,1.0632397572806767,1.2420741214311097,1.000137542587288,0.85,0.75,1.0632397572806767,1.2420741214311097,1.000137542587288
0.8712010886900041,1.2636011551164206,1.7050590968859727,1.0001378568685728,0.95,0.9,1.2636011551164206,1.7050590968859727,1.0001378568685728
0.9079368912144808,1.1519305626602843,1.5543747145941262,1.0000923022208172,0.9,0.8,1.1519305626602843,1.5543747145941262,1.0000923022208172
0.9123851755836933,1.3202561519922227,1.7815073633472613,1.0001378833807746,0.95,1.0,1.3202561519922227,1.7815073633472613,1.0001378833807746
