labelers_strength,proposed,proposed_penalized,Tao,accuracy-test-classifier,accuracy-test,proposed,proposed_penalized,Tao
0.4155557390967348,0.9391645012271715,0.0872582462035964,0.9996334196166293,0.19637462235649547,0.40634441087613293,0.9391645012271715,0.0872582462035964,0.9996334196166293
0.4477872862054366,0.758703748769813,0.15174054150704203,0.9988301501229825,0.3640483383685801,0.44561933534743203,0.758703748769813,0.15174054150704203,0.9988301501229825
0.48074796720696017,0.6992080391346066,0.2720648717885623,0.9997052778777741,0.38368580060422963,0.47583081570996977,0.6992080391346066,0.2720648717885623,0.9997052778777741
0.5106639193881491,0.7620136742725867,0.4842958316068089,0.9995046207318328,0.459214501510574,0.5015105740181269,0.7620136742725867,0.4842958316068089,0.9995046207318328
0.5227891804227055,0.7373616299028369,0.7318063519054863,0.9998196869547102,0.702416918429003,0.47583081570996977,0.7373616299028369,0.7318063519054863,0.9998196869547102
0.56009636506172,0.7978481276353695,0.8369875916480267,0.9993818859043981,0.716012084592145,0.5589123867069486,0.7978481276353695,0.8369875916480267,0.9993818859043981
0.5797928042047139,0.9020721991326195,1.0089644638907562,0.9991001093018906,0.7870090634441088,0.5845921450151057,0.9020721991326195,1.0089644638907562,0.9991001093018906
0.5982008926023245,0.9767360011301024,1.0865607464913056,1.0001669291230642,0.8172205438066465,0.6087613293051359,0.9767360011301024,1.0865607464913056,1.0001669291230642
0.6522206812524934,1.0682126444368665,1.2167945129196887,1.0001652117691051,0.8746223564954683,0.6661631419939577,1.0682126444368665,1.2167945129196887,1.0001652117691051
0.6611934355709661,1.0602290048942657,1.1999909149377193,0.9993115074381554,0.8655589123867069,0.6510574018126888,1.0602290048942657,1.1999909149377193,0.9993115074381554
0.6615969412852023,1.0898875473451728,1.2417905629243633,1.0005114004893176,0.8912386706948641,0.6510574018126888,1.0898875473451728,1.2417905629243633,1.0005114004893176
0.6965421024291567,1.0842217192290085,1.2264791624164095,1.0005856052197997,0.8897280966767371,0.7039274924471299,1.0842217192290085,1.2264791624164095,1.0005856052197997
0.7081468727594479,1.1146168629508337,1.2736853531274321,1.000576119997399,0.9033232628398792,0.7084592145015106,1.1146168629508337,1.2736853531274321,1.000576119997399
0.7174852565662234,1.1085655477948577,1.2615578295516239,1.000640575560459,0.877643504531722,0.7175226586102719,1.1085655477948577,1.2615578295516239,1.000640575560459
0.7297974867272254,1.1308804890111372,1.2903506478428333,0.9998712275878807,0.8867069486404834,0.7265861027190332,1.1308804890111372,1.2903506478428333,0.9998712275878807
0.7715625798103982,1.141111067413594,1.315930661904655,1.0006278573281613,0.8836858006042296,0.8081570996978852,1.141111067413594,1.315930661904655,1.0006278573281613
0.7726802996615769,1.1335984811683026,1.3037933479611064,0.9997459923401003,0.8927492447129909,0.7673716012084593,1.1335984811683026,1.3037933479611064,0.9997459923401003
0.8712010886900041,1.1650243687507673,1.3277801061624739,1.0004360718942429,0.9138972809667674,0.8353474320241692,1.1650243687507673,1.3277801061624739,1.0004360718942429
0.9079368912144808,1.1662244604479424,1.3439872844897196,1.0006809563970924,0.904833836858006,0.9063444108761329,1.1662244604479424,1.3439872844897196,1.0006809563970924
0.9123851755836933,1.1643198853521446,1.3381809707203933,1.000705394345005,0.918429003021148,0.9259818731117825,1.1643198853521446,1.3381809707203933,1.000705394345005
